Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SVT","SEVERN TRENT PLC","Utilities","Equity","2’837’153.14","0.47","2’837’153.14","78’658.00","36.07","United Kingdom","London Stock Exchange","GBP"
"OMV","OMV","Energy","Equity","2’825’018.35","0.46","2’825’018.35","43’163.00","65.45","Austria","Wiener Boerse Ag","EUR"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Staples","Equity","2’821’636.06","0.46","2’821’636.06","600’045.00","4.70","United Kingdom","London Stock Exchange","GBP"
"AKZA","AKZO NOBEL","Materials","Equity","2’758’639.40","0.45","2’758’639.40","44’110.00","62.54","Netherlands","Euronext Amsterdam","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","2’722’986.65","0.45","2’722’986.65","41’989.00","64.85","Germany","Xetra","EUR"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","2’699’195.87","0.44","2’699’195.87","87’296.00","30.92","United Kingdom","London Stock Exchange","GBP"
"TELIA","TELIA COMPANY","Communication","Equity","2’677’962.28","0.44","2’677’962.28","683’593.00","3.92","Sweden","Nasdaq Omx Nordic","SEK"
"MNG","M&G PLC","Financials","Equity","2’656’601.19","0.44","2’656’601.19","647’821.00","4.10","United Kingdom","London Stock Exchange","GBP"
"CA","CARREFOUR SA","Consumer Staples","Equity","2’647’659.37","0.43","2’647’659.37","168’802.00","15.69","France","Nyse Euronext - Euronext Paris","EUR"
"BEAN","BELIMO N AG","Industrials","Equity","2’624’341.22","0.43","2’624’341.22","2’864.00","916.32","Switzerland","SIX Swiss Exchange","CHF"
"FORTUM","FORTUM","Utilities","Equity","2’594’546.11","0.43","2’594’546.11","130’281.00","19.91","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Equity","2’576’994.30","0.42","2’576’994.30","2’350’200.00","1.10","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"ORSTED","ORSTED A/S","Utilities","Equity","2’571’129.80","0.42","2’571’129.80","134’087.00","19.18","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BVI","BUREAU VERITAS SA","Industrials","Equity","2’561’377.15","0.42","2’561’377.15","91’055.00","28.13","France","Nyse Euronext - Euronext Paris","EUR"
"ORNBV","ORION CLASS B","Health Care","Equity","2’531’503.05","0.42","2’531’503.05","31’903.00","79.35","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"AC","ACCOR SA","Consumer Discretionary","Equity","2’498’843.52","0.41","2’498’843.52","53’808.00","46.44","France","Nyse Euronext - Euronext Paris","EUR"
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","2’469’941.00","0.40","2’469’941.00","34’985.00","70.60","Netherlands","Euronext Amsterdam","EUR"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","2’439’665.20","0.40","2’439’665.20","61’670.00","39.56","France","Nyse Euronext - Euronext Paris","EUR"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","2’436’654.60","0.40","2’436’654.60","118’572.00","20.55","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"RXL","REXEL SA","Industrials","Equity","2’419’990.92","0.40","2’419’990.92","64’602.00","37.46","France","Nyse Euronext - Euronext Paris","EUR"
"MICC","MAGNUM ICE CREAM","Consumer Staples","Equity","2’401’399.20","0.39","2’401’399.20","143’350.00","16.75","Netherlands","Euronext Amsterdam","EUR"
"CNA","CENTRICA PLC","Utilities","Equity","2’398’138.29","0.39","2’398’138.29","1’327’149.00","1.81","United Kingdom","London Stock Exchange","GBP"
