Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"INPST","INPOST SA","Industrials","Equity","1’861’903","0.34","1’861’903.32","120’746","15.42","Netherlands","Euronext Amsterdam","EUR"
"IDR","INDRA SISTEMAS SA","Information Technology","Equity","1’820’122","0.34","1’820’121.60","36’696","49.60","Spain","Bolsa De Madrid","EUR"
"DIE","DIETEREN (D) SA","Consumer Discretionary","Equity","1’774’612","0.33","1’774’612.00","10’390","170.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ADP","AEROPORTS DE PARIS SA","Industrials","Equity","1’713’926","0.32","1’713’926.40","15’753","108.80","France","Nyse Euronext - Euronext Paris","EUR"
"SOF","SOFINA SA","Financials","Equity","1’683’474","0.31","1’683’474.00","7’449","226.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"BZU","BUZZI","Materials","Equity","1’623’149","0.30","1’623’149.46","37’417","43.38","Italy","Borsa Italiana","EUR"
"NEM","NEMETSCHEK","Information Technology","Equity","1’573’706","0.29","1’573’706.25","27’977","56.25","Germany","Xetra","EUR"
"RAA","RATIONAL AG","Industrials","Equity","1’559’963","0.29","1’559’962.50","2’447","637.50","Germany","Xetra","EUR"
"CPR","DAVIDE CAMPARI MILANO NV","Consumer Staples","Equity","1’549’684","0.29","1’549’684.00","279’323","5.55","Italy","Borsa Italiana","EUR"
"EVD","CTS EVENTIM AG","Communication","Equity","1’474’590","0.27","1’474’589.60","27’511","53.60","Germany","Xetra","EUR"
"GFC","GECINA SA","Real Estate","Equity","1’471’097","0.27","1’471’097.25","21’091","69.75","France","Nyse Euronext - Euronext Paris","EUR"
"COV","COVIVIO SA","Real Estate","Equity","1’367’591","0.25","1’367’590.50","25’755","53.10","France","Nyse Euronext - Euronext Paris","EUR"
"CVC","CVC CAPITAL PARTNERS PLC","Financials","Equity","1’346’091","0.25","1’346’090.94","101’286","13.29","Netherlands","Euronext Amsterdam","EUR"
"BIM","BIOMERIEUX SA","Health Care","Equity","1’316’497","0.24","1’316’497.10","18’374","71.65","France","Nyse Euronext - Euronext Paris","EUR"
"BOL","BOLLORE","Energy","Equity","1’216’922","0.23","1’216’921.57","295’226","4.12","France","Nyse Euronext - Euronext Paris","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Cash and/or Derivatives","Money Market","1’098’755","0.20","1’098’754.58","10’054","109.29","Ireland","-","EUR"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1’070’894","0.20","1’070’894.31","1’070’894","100.00","European Union","-","EUR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","245’000","0.05","245’000.00","245’000","100.00","European Union","-","EUR"
"ACS.D","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","147’676","0.03","147’675.52","85’263","1.73","Spain","Bolsa De Madrid","EUR"
"USD","USD CASH","Cash and/or Derivatives","Cash","105’207","0.02","105’207.11","120’278","87.47","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","78’649","0.01","78’648.76","67’143","117.14","United Kingdom","-","GBP"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","0","0.00","0.13","0","108.40","Switzerland","-","CHF"
"BES","BANCO ESPIRITO SANTO CLASS N SA","Financials","Equity","8","0.00","7.57","757’134","0.00","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"VGU6","EURO STOXX 50 SEP 26","Cash and/or Derivatives","Futures","0","0.00","2’397’420.00","38","6’309.00","European Union","Eurex Deutschland","EUR"
 
