Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PMN","PHOENIX N AG","Industrials","Equity","772’968","0.01","772’968.00","1’806","428.00","Switzerland","SIX Swiss Exchange","CHF"
"ASCN","ASCOM HOLDING AG","Health Care","Equity","746’512","0.01","746’512.20","118’494","6.30","Switzerland","SIX Swiss Exchange","CHF"
"CPHN","CPH CHEMIE PAPIER HOLDING AG","Materials","Equity","743’328","0.01","743’327.80","13’133","56.60","Switzerland","SIX Swiss Exchange","CHF"
"SNBN","SCHWEIZERISCHE NATIONALBANK","Financials","Equity","741’760","0.01","741’760.00","244","3’040.00","Switzerland","SIX Swiss Exchange","CHF"
"BVZN","BVZ HOLDING AG","Industrials","Equity","725’760","0.01","725’760.00","384","1’890.00","Switzerland","SIX Swiss Exchange","CHF"
"RIEN","RIETER HOLDING AG","Industrials","Equity","697’876","0.01","697’876.36","226’216","3.09","Switzerland","SIX Swiss Exchange","CHF"
"LEHN","LEM HOLDING SA","Information Technology","Equity","686’457","0.01","686’457.00","1’714","400.50","Switzerland","SIX Swiss Exchange","CHF"
"MEDX","MEDMIX N AG","Health Care","Equity","662’949","0.01","662’948.77","82’559","8.03","Switzerland","SIX Swiss Exchange","CHF"
"BYS","BYSTRONIC AG","Industrials","Equity","628’419","0.01","628’419.00","4’587","137.00","Switzerland","SIX Swiss Exchange","CHF"
"VETN","VETROPACK HOLDING SA","Materials","Equity","627’928","0.01","627’927.90","34’313","18.30","Switzerland","SIX Swiss Exchange","CHF"
"NWRN","NEWRON PHARMACEUTICALS","Health Care","Equity","610’861","0.01","610’861.44","50’736","12.04","Switzerland","SIX Swiss Exchange","CHF"
"ARBN","ARBONIA AG","Industrials","Equity","606’919","0.01","606’918.99","169’294","3.59","Switzerland","SIX Swiss Exchange","CHF"
"SANN","SANTHERA N AG","Health Care","Equity","589’148","0.01","589’148.20","37’430","15.74","Switzerland","SIX Swiss Exchange","CHF"
"PEAN","PEACH PROPERTY GROUP AG","Real Estate","Equity","576’951","0.01","576’950.68","133’399","4.33","Switzerland","SIX Swiss Exchange","CHF"
"KOMN","KOMAX HOLDING AG","Industrials","Equity","566’260","0.01","566’259.60","12’668","44.70","Switzerland","SIX Swiss Exchange","CHF"
"BMAG","BAJAJ MOBILITY AG","Consumer Discretionary","Equity","531’805","0.01","531’804.84","29’743","17.88","Austria","SIX Swiss Exchange","CHF"
"LEON","LEONTEQ AG","Financials","Equity","522’353","0.01","522’353.04","31’812","16.42","Switzerland","SIX Swiss Exchange","CHF"
"PEHN","PRIVATE EQUITY HOLDING AG","Financials","Equity","496’462","0.01","496’461.60","7’806","63.60","Switzerland","SIX Swiss Exchange","CHF"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","487’117","0.01","487’116.68","450’800","108.06","United Kingdom","-","GBP"
"TIBN","BERGBAHN ENGELB TRUEB TITLIS AG","Consumer Discretionary","Equity","484’654","0.01","484’653.60","9’732","49.80","Switzerland","SIX Swiss Exchange","CHF"
"CLTN","COLTENE HOLDING AG","Health Care","Equity","479’977","0.01","479’976.90","9’467","50.70","Switzerland","SIX Swiss Exchange","CHF"
"MTG","MEIER TOBLER GROUP AG","Industrials","Equity","463’515","0.01","463’515.00","14’262","32.50","Switzerland","SIX Swiss Exchange","CHF"
"GLKBN","GLARNER KANTONALBANK","Financials","Equity","450’736","0.01","450’736.40","19’099","23.60","Switzerland","SIX Swiss Exchange","CHF"
"BIOV","BIOVERSYS N AG","Health Care","Equity","421’121","0.01","421’120.80","15’258","27.60","Switzerland","SIX Swiss Exchange","CHF"
"CNTL","CENTIEL N AG","Consumer Staples","Equity","415’083","0.01","415’082.88","72’063","5.76","Switzerland","SIX Swiss Exchange","CHF"
"MIKN","MIKRON HOLDING AG","Industrials","Equity","388’443","0.01","388’443.00","23’542","16.50","Switzerland","SIX Swiss Exchange","CHF"
"OFN","ORELL FUSSLI AG","Industrials","Equity","365’827","0.01","365’826.50","2’447","149.50","Switzerland","SIX Swiss Exchange","CHF"
"METN","METALL ZUG AG","Health Care","Equity","359’903","0.01","359’903.00","491","733.00","Switzerland","SIX Swiss Exchange","CHF"
"ORON","ORIOR AG","Consumer Staples","Equity","345’583","0.01","345’583.44","21’572","16.02","Switzerland","SIX Swiss Exchange","CHF"
"CALN","CALIDA HOLDING AG","Consumer Discretionary","Equity","339’084","0.01","339’083.94","17’979","18.86","Switzerland","SIX Swiss Exchange","CHF"
